operatorId,geohash,address,lat,lng,acCount,dcCount,hdcCount,maxPowerKw
PL*GWN,0OytWdrx,"Warszawa, Al.Jerozolimskie, 184",52.201093,20.9331138,2,0,0,22.0
PL*EQU,0OytX_N1,"Warszawa, ul. Daimlera 1, _",52.205974,20.939474,0,2,0,60.0
PL*KM8,0OytXshi,"Warszawa, Al. Jerozolimskie, 176",52.203214,20.938364,0,0,2,180.0
PL*GWN,0OytY1LY,"Warszawa, Krakowiaków, 50",52.189554,20.9459899,1,2,0,50.0
PL*6XQ,0OytZGK_,"Warszawa, Przedpole, 8",52.1919496,20.9420657,2,0,0,22.0
PL*GWN,0OytZmCU,"Warszawa, Łopuszańska, 35",52.191597,20.946962,1,0,0,11.0
PL*KQE,0OytZqZh,"Warszawa, Łopuszańska, 29",52.191383,20.950403,1,1,0,50.0
PL*8BA,0Oytb7Ij,"Warszawa, Aleje krakowska, 271",52.194352,20.961422,0,0,0,0.0
PL*7US,0OytbFQa,"Warszawa, Łopuszańska, 22",52.1927067,20.9508236,2,0,0,22.0
PL*Q55,0OytbI7j,"Warszawa, Aleja Krakowska, 253",52.1914213,20.9553043,1,2,0,50.0
PL*GWN,0Oytbtw4,"Warszawa, al. Krakowska, 263",52.1930944,20.9596288,1,0,0,11.0
PL*GJC,0OytfI7n,"Warszawa, Włodarzewska, 58",52.2024063,20.9551876,2,0,0,22.0
PL*PKN,0OytjUta,"Warszawa, Żwirki i Wigury, 1H",52.17260611,20.97409775,2,0,0,22.0
PL*P2W,0Oytja32,"Warszawa, ul. Żwirki i Wigury, 1",52.1718,20.977631,0,0,7,360.0
PL*JMG,0OytlZqo,"Warszawa, Komitetu Obrony Robotników, 45B",52.18255,20.9656239,4,0,0,22.0
PL*GWP,0OytpnSL,"Warszawa, Postępu, 1",52.1709322,20.9914881,0,2,0,50.0
PL*EON,0Oytq1Lm,"Warszawa, Bokserska, 55",52.1681105,21.0009678,1,0,0,22.0
PL*MEE,0OytrAQ3,"Warszawa, Kłobucka, 27",52.1689718,20.9949411,2,0,0,22.0
